data_id,id,classe,darija_arabic,darija_arabizi,english,modern_standard_arabic,status,dataset_type
data51044,WIKI_D_09236,D,الداخل ديال الشّاپيل متميّز بسقوف دالبالوط مقسومة على ربعة، و الأرض د الزرق و خمسة ديال النوافذ الزجاجية الملونة الأصليين ديال تيفاني. بيت القديس فيه مذبح د العقيق و أرضية فسيفسائية مصنوعة من كتر من عشرين لون ديال الرخام.,"dakhil dyal chapel mtmyz bsqof dalbalot maqsuma 3la rba3a, w l'ard dyal zraq w khamsa dyal nawafed zujajiya mulawwana l'asliyin dyal tiffany. bit lqdis fi7 mdb7 dyal l3a9iq w ardiya fusayfsaiya masnu3a mn ktr mn 3ishrin lon dyal rkhham.","The interior of the chapel is marked by quartered oak ceilings , bluestone floors , and five original Tiffany stained glass windows . The chancel contains an onyx altar and mosaic floor made of more than twenty colors of marble .",يتميز الجزء الداخلي للكنيسة بسقوف من البلوط مقسمة إلى أرباع، وأرضيات من الحجر الأزرق، وخمس نوافذ زجاجية ملونة أصلية من تيفاني. يحتوي المذبح على مذبح من العقيق وأرضية فسيفسائية مصنوعة من أكثر من عشرين لونًا من الرخام.,VALIDATED,GOLD
data51045,DATA_7405,A,هاديك تتبان ليه هدية واعرة,hadik tatban lih hdya wa3ra,That gift looks amazing.,تلك الهدية تبدو رائعة,VALIDATED,GOLD
data51046,WIKI_C_06310,C,"الطبيب - شي طوبّات كيكونوا ف شي كاميونيطات ديال الإسعاف - بالخصوص ديال الطيارة - كيوظفو أطباء باش يحضرو مع الإسعاف, و كيجيبو معاهم كفايات زايدة بحال الدوايات اللي كيكتبوهم.","ttbib - chi ttabbat kaykunufi shi kamyunitat dyal l'isaf - blkhsus dyal ttyara - kaywazzafu atibba bash yhdru ma' l'isaf, w kiyjibu m3ahum kifayat zayda bhal ddwayyat lli kayktbuhum.","Doctor - some doctors are in some ambulances - especially the air ambulance - they hire doctors to be present with the paramedics, and they bring with them extra supplies like the medications they prescribe.",الطبيب - بعض الأطباء يكونون في بعض شاحنات الإسعاف - خاصة تلك التابعة للطيران - يوظفون أطباء ليحضروا مع الإسعاف، ويجلبون معهم كفايات إضافية مثل الأدوية التي يصفونها.,VALIDATED,GOLD
data51047,WIKI_D_07317,D,على اليمين، شي ناس تخوفو باللي السعي باش نخلقو وعي جديد و قيم جديدة غادي يطيح القيم القديمة اللي مجربة مع الوقت. و ناس آخرين تخوفو باللي الاحتفال بالتنوع مغاديش يخلي حتى شي وجهة نظر قوية باش توجه المجتمع.,"3la l ymin, chi nas tkhawfo blly l sa3y bach nkhla9o wa3y jdid w qyam jdidda ghadi ytih l qyam l qdima lli mjrba m3a l waqt. W nas akhrin tkhawfo blly l i7tifal bl t nawwo3 maghadiych ikhlli 7ta chi wajhet nazr qwiya bach tawajjah l mojtama3.","On the right, some people feared that the quest to create a new consciousness and new values would bring down the old time-tested values. And others feared that celebrating diversity would not leave any strong perspective to guide society.",على اليمين، تخوّف البعض من أن السعي لخلق وعي وقيم جديدة من شأنه أن يُسقط القيم القديمة التي أثبتت جدواها خلال الزمن. بينما تخوّف آخرون من أن الاحتفاء بالتنوع لن يترك أي وجهة نظر قوية لتوجيه المجتمع.,VALIDATED,GOLD
data51048,WIKI_D_04481,D,فرانسيس ماربوري (كيتكتب بعض لمرات ماربوري) (1555-1611) كان رجل دين، معلم ومسرحي إنجليزي قرا ف كامبريدج. معروف بزاف حيت هو با ديال آن هاتشينسون، لي كتعتابر أشهر (أو أسوأ سمعة) مرا إنجليزية ف أمريكا ف الحقبة الاستعمارية.,"francis marbury (kiytktb b3d l-mrat Marburie) (1555-1611) kan rajl ddin, mo3ellem w mssra7i ingleezi 9ra f cambridge. ma3rouf bzzaf 7it howa ba dyal anne hutchinson, li kta3tebr achhor (aw aswae som3a) mra ingleeziya f america f l7e9ba l-isti3mariya.","Francis Marbury (sometimes written Marburie) (1555–1611) was an English clergyman, teacher, and playwright who studied at Cambridge. He is best known for being the father of Anne Hutchinson, who is considered the most famous (or infamous) Englishwoman in colonial American history.",فرانسيس ماربوري (يكتب أحيانًا ماربوري) (1555-1611) كان رجل دين ومعلمًا ومسرحيًا إنجليزيًا درس في كامبريدج. معروف جدًا لأنه والد آن هاتشينسون، التي تُعتبر أشهر (أو أسوأ سمعة) امرأة إنجليزية في أمريكا في الحقبة الاستعمارية.,VALIDATED,GOLD
data51049,WIKI_D_10935,D,إيلا شفنا ألمانيا غادا تربح خاصنا نعاونو روسيا، و إيلا شفنا روسيا غادا تربح خاصنا نعاونو ألمانيا، و هاكا نخلّيوهوم يقتلو أكبر عدد ليمكن واخا مكنبغيش نشوف هتلر رابح بأي طريقة.,"ila shofna almanya ghada trbeh khassna n3awnu rrusya, w ila shofna rrusya ghada trbeh khassna n3awnu almanya, w haka nkheliwhom yqtlu akbar 3addad li ymken wakha maknbghich nchuf hitler rabeh b ayi tariqa.","If we see Germany is winning we have to help Russia, and if we see Russia is winning we have to help Germany, and that way let them kill the largest number possible, although I would not like to see Hitler victorious under any circumstances.",إذا رأينا ألمانيا منتصرة، فيجب علينا مساعدة روسيا، وإذا رأينا روسيا منتصرة، فيجب علينا مساعدة ألمانيا، وبهذه الطريقة ندعهم يقتلون أكبر عدد ممكن، على الرغم من أنني لا أريد رؤية هتلر منتصرًا تحت أي ظرف من الظروف.,VALIDATED,GOLD
data51050,DATA_22570,B,سور فاليتا البري هو السور الكبير لي كيحمي المدينة من جهة البر. و فيه هاد الأجزاء,sour Valletta lbari huwa sour lkbir li ky7mi lmdina mn jiht lbar. u fih had l'ajzae,Valletta's land wall is the large wall that protects the city from the land. It contains these parts.,سور فاليتا البري هو السور الكبير الذي يحمي المدينة من جهة البر. وفيه هذه الأجزاء.,VALIDATED,GOLD
data51051,WIKI_D_10087,D,فـ 1952، بانت فواحد من أول سيتكومات ديال التلفازة، سميتها كلاوديا: قصة ديال الزواج، مبنية على واحد السلسلة ديال الأفلام اللي الدور الرئيسي كانت كاتلعبو دوروثي ماكواير. ماكراكن لعبات مع الممثل ديال برودواي هيو ريلي.,"f 1952, bant f wahed mn awl sitcomat dyal telfaza, smitha Claudia: qissa dyal zwaj, mabniya 3la wahed silsila dyal aflam li ad-dor arraisi kanat katl3bo Dorothy McGuire. McCracken la3bat m3a l-moumtil dyal Broadway Hugh Reilly.","In 1952, she appeared in one of the first television sitcoms, titled Claudia: The Story of a Marriage, based on a film series in which Dorothy McGuire played the main role. McCracken co-starred with Broadway actor Hugh Reilly.",في عام 1952، ظهرت في واحد من أوائل المسلسلات الكوميدية التلفزيونية، اسمه كلوديا: قصة زواج، وهو مبني على سلسلة أفلام لعبت فيها دوروثي ماكغواير الدور الرئيسي. مثلت مكراكين مع ممثل برودواي هيو رايلي.,VALIDATED,GOLD
data51052,WIKI_D_10517,D,نهار 30 غشت 1930، أرسنال عاون باش يتسجل رقم قياسي جديد ديال الحضور بـ 28723 فملعب بلومفيلد رود ديال بلاكبول. و عاونو باش يعاودو يسجلوه فالسيزونات اللي جاو موراها بجمهورديال 29576 و 30218,"nhar 30 ghosht 1930, arsenal 3awen bach yetsjel re9m 9yassi jdide dyal lhodor b 28723 f mal3ab bloomfield road dyal blackpool. w 3awno bach y3awdo ysejlo7 f sezonat li jaw moraha b jomhor dyal 29576 w 30218","On August 30, 1930, Arsenal helped set a new attendance record of 28,723 at Blackpool's Bloomfield Road stadium. They helped set it again in the following seasons with crowds of 29576 and 30218",في يوم 30 أغسطس 1930، ساهم أرسنال في تسجيل رقم قياسي جديد للحضور بلغ 28723 في ملعب بلومفيلد رود الخاص بنادي بلاكبول. وساعدوا في تسجيل أرقام جديدة في المواسم التي تلت ذلك بجمهور بلغ 29576 و 30218,VALIDATED,GOLD
data51053,DATA_16419,B,"برا المصارعة المحترفة، دار بزاف ديال الظهورات كضيف ف الأفلام و  التلفزة، و منها الدور الرئيسي ف فيلم ""ذا تشابيرون"" اللي نتجاتو ""دبليو دبليو إي ستوديوز"".","bra lmosara3a lmohtarifa, dar bzaf dyal dhohorat kdif f aflam w telfaza, w minha dor ra2isi f film ""The Chaperone"" li ntajato ""WWE Studios"".","Outside of professional wrestling, he has made numerous guest appearances in film and on television, including the lead role in the ""WWE Studios"" production ""The Chaperone"".","بعيداً عن عالم مصارعة المحترفين،  ظهر عدة مرات كضيف في السينما والتلفزيون، بما في ذلك دور البطولة في فيلم ""ذا تشابيرون"" من إنتاج ""دبليو دبليو إي ستوديوز"".",VALIDATED,GOLD
data51054,WIKI_C_07068,C,"""أغنية ""أي سي د الليت"" ربحات جائزة جمعية نقاد السينما د لاس فيغاس لأحسن أغنية ف 2010، و جائزة أحسن أغنية مكتوبة لوسائل الإعلام المرئية ف الدورة 54 د الغرامي ف 2012.""","oghniyat ""i see the light"" reb7at jayezat jam3iyat nouqqad sinima d las vegas la7sen oghniya f 2010, w jayezat a7sen oghniya mktouba lwasayel l i3lam lmar2iya f dwra 54 dyal lghrammy f 2012.","""I See the Light"" won the Las Vegas film critics society award for best song in 2010 , and the best song written for visual media award at the 54th Grammy Awards in 2012 ."," و فازت أغنية ""أرى الضوء"" جائزة جمعية نقاد السينما بلاس فيغاس كأحسن أغنية خلال 2010, و جائزة أحسن أغنية مكتوبة داخل وسائل الإعلام المرئية في الدورة 54 للغرامي خلال 2012.",VALIDATED,GOLD
data51055,DATA_2314,A,أنا فرحان بزاف ملي وليت مع المجموعة.,ana far7an bzaf mli wlit m3a lmjmo3a.,I'm so happy to join the group.,أنا سعيد جدًا بالانضمام إلى المجموعة.,VALIDATED,GOLD
data51056,DATA_16587,B,تلال تسيمبا، بونيس - بورتون، الجنوب الغربي د المحيط الهادي 1943 – 1945، تحريرغينيا الجديدة الأسترالية.,"tilal tsimba, bonis - borton, ljanoub lgharbi d lmohit lhadi 1943- 1945, tahrir ghinia ljadida lostralia.","Tsimba hills, Bonis – Porton, South-West Pacific 1943 – 1945, liberation of Australian New Guinea .",تلال تسيمبا، بونيس – بورتون، جنوب غرب المحيط الهادئ 1943-1945، تحريرغينيا الجديدة الأسترالية.,VALIDATED,GOLD
data51057,WIKI_C_07950,C,"مارتن أوهاڭان، صحفي ديال الجريدة ديال ""ده سنداي ورلد""، تقتل نهار 28 شهر تسعود عام 2001 قدام مرتو حدا دارو فديك المدينة.","Martin O'Hagan, sa7afi dyal l jarida dyal ""the sunday world"", tqtel nhar 28 shhar tsood 3am 2001 qdam marto 7da daro f dik lmdina.","Martin O 'Hagan , a journalist for ""The Sunday World"" newspaper , was murdered on the 28th of September 2001 in front of his wife near his own home in the town .","قُتِل الصحفي مارتن أوهيغان، الذي يعمل بصحيفة ""سنداي ورلد""، في 28 من سبتمبر عام 2001 أمام زوجته بالقرب من منزله في البلدة.",VALIDATED,GOLD
data51058,DATA_11208,A,تعطلتي بزّاف باش تزيد ف طول,t3etli bezzaf bach tzid f tol,You took too long to grow taller.,لقد تأخرت كثيرا لكي تزيد في الطول,VALIDATED,GOLD
data51059,DATA_7330,A,تدريبات ديالنا و لبريباراسيون نفعونا بزّاف فلماتش ديال ليوم,tedribat dialna w lpreparation nef3ouna bezzaf flmatch dial lyoum,our training and preparation really help us in today's match,لقد أثمر تدريبنا  و استعدادنا كثيرا في مباراة اليوم,VALIDATED,GOLD
data51060,DATA_3876,A,خلينا نقولو بجوج مع الصعوبة لي عندك,khalina ngolo bjoj m3a So3oba li3ndak,Let's say together with your difficulty,لِنقُلْ مَعًا مَعَ صُعُوبَتِكَ,VALIDATED,GOLD
data51061,WIKI_D_08525,D,"لكوطا على حوت ساي ف الشمال ديال المحيط الأطلسي بدات ف 1977. المخزون اللي ف النص الجنوبي تحما ف 1979. وبسباب الأدلة اللي كانت كتزيد باللي بزاف ديال الأنواع ديال الحوت مهددة بالانقراض، الـ ""أي دبليو سي"" دارت واحد المنع كامل على الصيد التجاري ديال الحوت بدا ف 1986.","lkota 3la hoot say f shamal dyal lmo7it latlasi bdat f 1977. lmakhzoun li f nass ljanoubi t7ma f 1979. wbsbab l2adella li kanet katziid bli bzaf dyal l2anwa3 dyal l7out mouhadada b lin9irad, l ""IWC"" dart wa7d lman3 kamel 3la ssed ttijari dyal l7out bda f 1986.","Quotas on sei whales in the North Atlantic began in 1977. Southern Hemisphere stocks were protected in 1979. Facing mounting evidence that several whale species were threatened with extinction, the ""IWC"" established a complete moratorium on commercial whaling beginning in 1986.","بدأت الحصص المفروضة على الحيتان الزرقاء في شمال المحيط الأطلسي في عام 1977. وتمت حماية مخزونات النصف الجنوبي في عام 1979. وفي مواجهة الأدلة المتزايدة على أن عدة أنواع من الحيتان مهددة بالانقراض، فرضت ""أي دبليو سي"" وقفاً كاملاً للصيد التجاري للحيتان اعتبارًا من عام 1986.",VALIDATED,GOLD
data51062,WIKI_D_10923,D,"فاللي دابا ألمانيا، لبلايص اللي مسمّيين على ثور مسجّلين بواحد الشوية، ولكن شي عدد ديال لبلايص اللي مسمّيين ""دونرسبيرج"" (ألمانية ""جبل دونر"") يمكن يكون سميتهوم جاية من الإله دونر، الشكل الجرماني الجنوبي ديال سمية الإله.","felli daba 2almanya, lblayes lli msmmyin 3la Thor msjlyn bwa7d shwiya, walakin shi 3adad dyal lblayes lli msmmyin ""donnersberg"" (2almanya ""jbel donner"") ymken ykun smyathom jayya mn l2ilah donner, eshkel ljermany ljanouby dyal smyit l2ilah.","In what is now Germany, locations named after Thor are sparsely recorded, but an amount of locations called ""donnersberg"" (Germany ""Donner 's mountain"") may derive their name from the deity Donner , the southern Germanic form of the god 's name .","في ما يُعرف الآن بألمانيا، المواقع المسماة على اسم ثور قليلة التسجيل، ولكن قد يكون عدد من المواقع المسماة ""دونرسبيرج"" (الألمانية ""جبل دونر"") استمدت اسمها من الإله دونر، الشكل الجرماني الجنوبي لاسم الإله.",VALIDATED,GOLD
data51063,WIKI_D_08734,D,"السلسلة تصوّرات فبرلين الغربية و مارساي كإنتاج مشترك ألماني غربي، فرنسي و أمريكي من طرف ""إنتركونتيننتال تلفزيون فيلمز"". السلسلة تدوزات في بزاف ديال لبلايص ف لميريكان و لكن دازت تا فالساحل الشرقي على   ""دومونت تلفزيون نيتورك"".","ssilsila tsawwrat fbrlin lghrbiya w marseille ka2intaj moshtarak almany ghrbi, faranci w amriki min taraf ""Intercontinental Television Films"". ssilsila tdawazat f bzaf dyal lblays f lmirikan w lkin dazat ta fsa7il sharqi 3la ""DuMont Television Network"".","The series was filmed in West Berlin and Marseille as a West German , French and American production by ""Intercontinental Television Films"". The series aired in syndication throughout most of the U.S. but also aired on the east coast on the ""DuMont Television Network"".","تم تصوير المسلسل في برلين الغربية ومرسيليا كإنتاج مشترك ألماني غربي وفرنسي وأمريكي بواسطة ""إنتركونتيننتال تيليفيجن فيلمز"". عُرض المسلسل في تآزر في معظم أنحاء الولايات المتحدة ولكن عُرض أيضًا على الساحل الشرقي على ""شبكة تلفزيون دومون"".",VALIDATED,GOLD
data51064,DATA_24882,B,ضرب الكرة البيضة فشي كورة ولا جوج من الكرات الآخرين و من بعد تدخل في القرعة حتى تطيح على جنبها كتحسب 5 نقاط.,Dreb lkoura lbayda f shi koura wla jouj mn lkourat lakhrin w mn b3d tdkhel f lqr3a hta tti7 3la jenbha kt7ssb 5 nqat.,Caroming the cue ball off one or both object balls and then into the bottle knocking it onto its side scores 5 points.,تُحرز 5 نقاط بضرب الكرة الأمامية لتصطدم بكرة واحدة أو كلتي الكرتين الهدفين ثم تصطدم بالزجاجة فتسقطها على جانبها.,VALIDATED,GOLD
data51065,DATA_10472,A,مانضنش غادي تختار أشنو دير مورا الباك,mandench ghadi te5tar achno dir mora lbac,I don't think you'll get to choose after baccalaureate, لا أعتقد أنك ستختار ما ستفعله بعد التخرج من البكالوريا,VALIDATED,GOLD
data51066,WIKI_C_05168,C,الخدمة ديال رحمان فالتوينتي تواينتي برا الكريكت الدولية كانت هي البانغلاديش بريمير ليغ، حيت لعب مع دكا ديناميتس فالموسم ديال 2015. خدا 14 وحدة ف 10 ديال الماتشات فهاد البطولة.,"lkhdma dyal rahman ""faltwenti twenti"" bra lkriket ddawliya kant hiya lbangladich premier ligue, hith la3b m3a daka dynamites f lmousm dyal 2015. khda 14 wa7da f 10 dyal lmachat f had lbotola.","Rahman 's professional ""Twenty20"" career outside international cricket was the Bangladesh Premier League, where he played for Dhaka Dynamites in its 2015 season. He took 14 wickets in 10 matches in that tournament .","كانت مسيرة رحمان الاحترافية في دوري ""توينتي توينتي"" خارج الكريكيت الدولية هي دوري بنغلاديش الممتاز، حيث لعب مع فريق دكا ديناميتس في موسم 2015. وقد حقق 14 ويكيت في 10 مباريات في تلك البطولة.",VALIDATED,GOLD
data51067,DATA_15031,B,الأتمتة كتزيد فالإنتاجية لأقصى حد و كتنقص من احتمال الخطأ ولا التلوّث اللي كيوقع فالمناولة اليدوية. دابا كاينين أجهزة اللي كيديرو التحليل من الأول حتى اللخر بوحدهم.,l2atmata katzid fel2intajiya l2aqsa 7ed o ka tnqess men i7timal lkheta2 wla telweth lli kaywqe3 felmnaoula lyadawiya. daba kaynin ajhiza lli kaydiro tte7lil men lawwel 7etta llekher bou7dhoum.,Automation maximises throughput and reduces the possibility of error or contamination during manual handling . Single devices to do the assay from beginning to end are now available .,تعمل الأتمتة على زيادة الإنتاجية إلى أقصى حد وتقليل احتمالية الخطأ أو التلوث أثناء المناولة اليدوية. تتوفر الآن أجهزة فردية لإجراء الفحص من البداية إلى النهاية.,VALIDATED,GOLD
data51068,DATA_18091,B,واحد الفكرة كانت عند فرانك دارابونت على الحلقة اللولة ديال الموسم ما تدارتش، كايقولو بالسباب ديال التقشف (ولا نقص الفلوس).,"wa7ed lfikra kanet 3end frank darabont 3la l7elqa lowla dyal lmawsim ma tdaratch, kayqolo bsbab dya ttaqachof (wella neqs lflous).","An early concept for the season premiere by Frank Darabont never materialized, allegedly as a result of budget cuts.",لم تتحقق فكرة مبكرة للمسلسل من قبل فرانك دارابونت، ويُزعم أنها كانت نتيجة لتخفيضات في الميزانية.,VALIDATED,GOLD
data51069,DATA_11261,A,تعطلتي بزّاف باش دير لموسيقا,t3etlti bezzaf bach dir lmosi9a,It took you way too long to drop the music.,قد استغرقت وقتاً طويلاً جداً لإنتاج الموسيقى.,VALIDATED,GOLD
data51070,WIKI_C_11360,C,من بعد التقاعد، باكلو بقى فديك البلاصة ديال دي سي. من 1974 ل 1984، كان هو الممثل ديال دي سي لواحد الشركة ديال لوزيانا اللي كاتصاوب الطوقبات.,"men b3d tta9a3od, baklew b9a f dik lblasa dyal DC. men 1974 l 1984, kan howa l momatil dyal DC l wa7d sharika dyal louiziana li katssawb tto9bat.","After retirement, Bucklew remained in the D.C. area. From 1974 to 1984, he served as the D.C. representative for a Louisiana-based tugboat manufacturer.",عد التقاعد، ظل باكلو في منطقة واشنطن العاصمة. من عام 1974 إلى عام 1984، شغل منصب الممثل في واشنطن العاصمة لشركة لبناء قوارب السحب في لويزيانا.,VALIDATED,GOLD
data51071,WIKI_C_07320,C,ف 1915، شي ألف طوموبيل فالعام كانو كيدخلو للسفاري، داكشي دار صداع مع الخيل والكرويلات ديالهم. ف اللخر منعو الناس يركبو على الخيل ف الطريق.,"f 1915, shi alf tomobil f l3am kanu kidkhlo l safari, dakchi dar sda3 ma3 lkhayl w lkrwilat dyalhom. f lla5er mn3u nas yrkbu 3la l5ayl f tri9.","By 1915, one thousand automobiles were entering the park annually, resulting in conflicts with horses and horse-drawn carriages. Eventually, traveling by horse on the roads was prohibited.",بحلول عام 1915، كان يدخل المتنزه سنوياً نحو ألف سيارة، مما أدى إلى صراعات مع الخيول وعربات الجر. وفي نهاية المطاف، حُظر تنقل الخيول عبر الطرقات.,VALIDATED,GOLD
