id,classe,darija_arabic,darija_arabizi,english,modern_standard_arabic,sonde
DATA_1796,A,يمكنك تحط المونتو في العلاقة تما.,imkank t7at lmonto fl3la9 tma.,You can put the coat on the hanger there.,يمكنك وضع المعطف في المشجب هناك.,classe_A
DATA_4970,A,عندي بشرة مختلطة,3ndi lbechra mokhtaliTa,I have combination skin.,لدي بشرة مختلطة.,classe_A
DATA_16206,B,الرئيس ڭرانت: عمري ما درتها. شفت من بعد هاد المحاكمات تلميحات من داك النوع فالجورنالات، ولكن عمري ما شفتها قبل.,"ar-rayyis grant: 3omri ma dert-ha. shuft men ba3d had l-m7akamat t-lmi7at men dak n-nou3 fel-jourlanat, walakin 3omri ma shuftha qbel.","President Grant: I never did that. I saw hints of that kind in the newspapers after these trials, but I never saw them before.",الرئيس غرانت: لم أفعل ذلك أبداً. رأيت بعد هذه المحاكمات تلميحات من هذا النوع في الصحف، لكنني لم أرها من قبل.,classe_B
DATA_13848,B,من بعد دخل البركان فواحد المرحلة ديال ثورات كثر ولكن أقل حدة، حتى الثورة البلينية الأخيرة اللي خرّبات بومباي.,"men b3d dkhel l-borkan f wa7ed l-mer7ala dyal thowrat kther walakin aqal 7idda, 7tta t-thowra l-bliniya l-akhira li kherrbat bumbay.","After that, the volcano entered a phase of more frequent but less intense eruptions, even the last volcanic eruption that destroyed Pompeii.",بعد ذلك، دخل البركان في مرحلة من الثورات الأكثر تكرارًا ولكن أقل حدة، حتى الثورة البركانية الأخيرة التي دمرت بومباي.,classe_B
DATA_14483,B,"آمي واترمان، المديرة التنفيذية ديال واحد المشروع باش يصلحو ويعاودو يجددو كنيس الدريدج ستريت، أشارت في ""ذا فوروارد"":","Ami Waterman, al-mudira tanfidiya dyal wahed lmachrou3 bach yssl7u w y3awdu yjeddu knis Dreej Street, 2ashart fi ""The Forward"":","Ami Waterman, the executive director of a project to renovate and renew the Dreej Street synagogue, stated in ""The Forward"":","آمي واترمان، المديرة التنفيذية لمشروع لتجديد كنيسة شارع دريدج، أشارت في ""ذا فوروارد"":",classe_B
DATA_16215,B,"وودورد، سي. ڤان (أبريل 1957). ""أدنى حضيض"". أميريكان هيريتج. تم الاسترجاع في 24 فبراير 2010.","Woodward, C. Vann (Abril 1957). ""Adna 7adid"". American Heritage. Temm l-istirja3 fi 24 Febrayr 2010.","Woodward, C. Vann (April 1957). ""Lowest Point"". American Heritage. Retrieved on February 24, 2010.","وودورد، سي. ڤان (أبريل 1957). ""أدنى حضيض"". التراث الأمريكي. تم الاسترجاع في 24 فبراير 2010.",classe_B
DATA_13511,B,"دم الأجداد (1992) (باسم ""إدموند مكوي"". نشر من بعد تحت سميتو الأصلية فـ 2004).","ddam l'ajdad (1992) (bessm ""Edmund McCoy"". Ncher mn b3d t7t smitu l'asliya f 2004).","Blood of the Ancestors (1992) (by ""Edmund McCoy"". Later published under its original name in 2004).","دم الأجداد (1992) (باسم ""إدموند مكوي"". نُشر لاحقًا تحت اسمه الأصلي في 2004).",classe_B
DATA_16919,B,فـ 1989، الملحن الأمريكي هنري مانسيني والأوركسترا الملكية الفيلهارمونية سجلو نسخة أوركسترالية ديال الأغنية.,"f 1989, lmula7in l-2ameriki henri mansini w l'orkestra lmalakiya lfilharmuniya sejlo nus5a orkestraliya dyal l-oghniya.","In 1989, the American composer Henry Mancini and the Royal Philharmonic Orchestra recorded an orchestral version of the song.",في عام 1989، سجل الملحن الأمريكي هنري مانسيني والأوركسترا الملكية الفيلهارمونية نسخة أوركسترالية من الأغنية.,classe_B
DATA_13711,B,الشجرة التطورية ديال ديبلودوسيداي من بعد تشوب، ماتيوس، وبنسون (2015) كتبين بلي آ. ألتوس برا ديبلودوسيناي,"ashajara tattatouriya dyal Diplodocidae mn b3d Tschopp, Mateus, w Benson (2015) katbayyen balli A. altus barra Diplodocinae.","The evolutionary tree of Diplodocidae after Tschopp, Mateus, and Benson (2015) shows that A. altus is outside Diplodocinae.",الشجرة التطورية لعائلة Diplodocidae بعد Tschopp وMateus وBenson (2015) تُظهر أن A. altus خارج Diplodocinae.,classe_B
DATA_22833,B,أربعة اللاعبين الوحيدين اللي وصلوا لنص النهاية أو أحسن فكل الدورات التسعة ديال ماسترز على الأقل مرة.,Arb3at lla3abin lwa7idin lli wsslu l ness n-nihaya ou a7ssan f kull d-dourat ttis3a dyal Masters 3la l-aql mrra.,Four unique players who reached the semifinals or better in all nine Masters tournaments at least once.,أربعة لاعبين فريدين وصلوا إلى نصف النهائي أو أفضل في جميع الدورات التسع للماسترز على الأقل مرة واحدة.,classe_B
DATA_24562,B,كنبلع دموعي وكنوافق على الاقتراح باش نقبلو الإعلان ديال الحلفاء على الأساس اللي دار وزير الخارجية.,kanbla3 dmou3i o kanwafq 3la l-iqtirah bash nqblo l-i3lan dyal l-hulafa2 3la l-asas lli dar wazir l-kharijiya.,I swallow my tears and agree to the proposal so that we accept the allies' announcement based on what the foreign minister established.,أبتلع دموعي وأوافق على الاقتراح لكي نقبل إعلان الحلفاء على الأساس الذي وضعه وزير الخارجية.,classe_B
DATA_21808,B,"أندري كريستوف بوكو (تزاد ف 10 أكتوبر 1984) هو كوايري محترف كيلعب وسط ف فرقة ""داغنهام أند ريدبريدج"" اللي كاينة ف ليغ تو.","Andre Christophe Bouko (tzad f 10 octobre 1984) houwa kouayri mouhtarif kayl3ab wasst f ferqa ""Dagenham and Redbridge"" li kayna f League Two.","Andre Christophe Bouko (born on October 10, 1984) is a professional player who plays as a midfielder for the team ""Dagenham and Redbridge"" which is in League Two.","أندري كريستوفر بوكو (ولد في 10 أكتوبر 1984) هو لاعب محترف يلعب في مركز الوسط في فريق ""داغنهام أند ريدبريدج"" الذي يلعب في الدوري الثاني.",classe_B
DATA_16006,B,"ويك أب ميسر ويست"" و ""هيرد إم ساي"" بجوج فيهم مقتطفات من ""ساموان دات آي يوزد تو لوف"" كيف غناتها ناتالي كول.","""Wake Up Mr. West"" w ""Heard Em Say"" bjouj fihoum muqtatafat men ""Someone That I Used to Love"" kif ghannatha Natalie Cole.","""Wake Up Mr. West"" and ""Heard Em Say"" both contain excerpts from ""Someone That I Used to Love"" as sung by Natalie Cole.","""Wake Up Mr. West"" و ""Heard Em Say"" يحتويان على مقتطفات من ""Someone That I Used to Love"" كما غنتها ناتالي كول.",classe_B
DATA_15727,B,بتري، شارل. (1974) الملك شارل، الأمير روبرت، و الحرب الأهلية: من الرسائل الأصلية. لندن: روتليدج و كيغان بول.,"Bitri, Sharl. (1974) l-Malik Sharl, l-Amir Robert, w-l-Harb l-ahliya: Min r-rasa2il l-Assliya. London: Routledge wa Kegan Paul.","Bitri, Charles. (1974) King Charles, Prince Robert, and the Civil War: From the Original Letters. London: Routledge and Kegan Paul.",بتري، شارل. (1974) الملك شارل، الأمير روبرت، والحرب الأهلية: من الرسائل الأصلية. لندن: روتليدج وكيغان بول.,classe_B
DATA_19951,B,إف سي يو رون دوڭنز باص ديال 14 يارد من عند كريس واينكي (باص ديال بيتر واريك من عند كريس واينكي) 12:59 إف سي يو 36 ڤي تي 29,FSU Roundowns pass dyal 14 yards mn 3nd Chris Weinke (pass dyal Peter Warrick mn 3nd Chris Weinke) 12:59 FSU 36 VT 29,FSU Rounddowns pass of 14 yards from Chris Weinke (pass of Peter Warrick from Chris Weinke) 12:59 FSU 36 VT 29,FSU تمريرة رونداونز لمسافة 14 ياردة من كريس واينكي (تمريره بيتر واريك من كريس واينكي) 12:59 FSU 36 VT 29,classe_B
DATA_24578,B,أدفنتشر غيمرز: واو ميتر - المرتبة الثانية (غشت - أكتوبر 2012)، لمرتبة تّالتة (نونبر 2012 - أبريل 2013),"Adventure Gamers: waow meter - lmartaba ttanya (ghusht - oktober 2012), lmartaba ttalta (nowenber 2012 - abril 2013)","Adventure Gamers: Wow Meter - Second Place (August - October 2012), Third Place (November 2012 - April 2013)",مغامرات اللاعبين: مقياس واو - المرتبة الثانية (أغسطس - أكتوبر 2012)، المرتبة الثالثة (نوفمبر 2012 - أبريل 2013),classe_B
DATA_18720,B,أغلب اللهجات ديال الإنجليزية كيتشاركوا فنفس 24 صوت صامت. اللائحة ديال الأصوات الصامتة اللي كتشوف لتحت صحيحة بالنسبة للهجة الأمريكية الكاليفورنية، و الـ 	آر بي.,"aglab l-lahjat dyal l-2inglizya kaytcharkou f nfs 24 sawt samet. l-la2iha dyal l-asswat ssameta li katchouf lte7t ss7i7a bnnisba l-lahja l2amirikya lkaliforniya, w l-RP.",Most English dialects share the same 24 consonant sounds. The list of consonant sounds you see below is accurate for the Californian American accent and RP.,تشترك معظم اللهجات الإنجليزية في نفس 24 صوتًا ساكنًا. القائمة بالأصوات الساكنة التي تراها أدناه صحيحة بالنسبة للهجة الأمريكية الكاليفورنية واللهجة البريطانية.,classe_B
DATA_22244,B,إيد بون قال باللي باغي يدير لعبة كروس أوفر بين مورتال كومبات و كيلر إنستينكت ديال إكس بوكس وان.,id bon qal b-lli baghi idir l3bat cross-over bin mortal kombat u killer instinct dyal Xbox One.,Ed Boon said that he wants to create a crossover game between Mortal Kombat and Killer Instinct for Xbox One.,إد بون قال إنه يرغب في إنشاء لعبة كروس أوفر بين مورتال كومبات وكيلر إنستينكت لجهاز إكس بوكس ون.,classe_B
DATA_22106,B,ميدالية تعطات للعسكر والبحرية والموظفين المدنيين اللي شاركو فعمليات حرب الباراغواي (1870).,midalia t3Tat l3skar w lba7ria w lmuwazhafin lmadaniyin li sharku f3amaliyat 7arb lbaraguay (1870).,"A medal was awarded to the military, the navy, and the civilian employees who participated in the Paraguay War (1870).",مُكافَأة مُنِحَت للعسكريين والبحريين والموظفين المدنيين الذين شاركوا في عمليات حرب باراغواي (1870).,classe_B
DATA_16740,B,الطائر الشمالي هو الطائر الرسمي ديال ولاية أركنساس وفلوريدا وميسيسيبي وتينيسي وتكساس، وكان شحال هادي الطائر الرسمي ديال ولاية كارولينا الجنوبية.,"Ta2ir sh-shmali huwa Ta2ir rrasmi dyal wilayat arkansas w florida w mississippi w tennese w texas, w kan shhal hadi Ta2ir rrasmi dyal wilayat carolina  l-janubiya.","The northern mockingbird is the official bird of Arkansas, Florida, Mississippi, Tennessee, and Texas, and it was previously the official bird of South Carolina.",الطائر الشمالي هو الطائر الرسمي لولايات أركنساس وفلوريدا وميسيسيبي وتينيسي وتكساس، وكان سابقًا الطائر الرسمي لولاية كارولينا الجنوبية.,classe_B
DATA_15751,B,من بعد داك الشهر، رينغو و الفرقة ديالو علنوا على واحد الجولة ديال الصيف فميريكان. التحضيرات كاملة غتبدا فشهر ستة فسراكوز.,"men b3d dak ch-her, ringo w l-ferqa dyalo 3lnu 3la wa7ed lj-jawla dyal s-sif f mirikan. t-te7ddirat kamla ghetbda f ch-her setta f sirakoz.","After that month, Ringo and his band announced a summer tour in America. Preparations will start in June in Syracuse.",بعد ذلك الشهر، أعلن رينغو وفرقته عن جولة صيفية في أمريكا. ستبدأ التحضيرات في شهر يونيو في سيراكيوز.,classe_B
DATA_20003,B,"وزاد قال: ""الله سبحانه خاصو يشرح ليا شنو واقع ليا فحياتي.""","wzad qal: ""llah sb7ano khaso yshra7 liya shno waqe3 liya f 7yati.""","And he said: ""God Almighty needs to explain to me what is happening in my life.""","وزاد قال: ""الله سبحانه وتعالى يحتاج أن يشرح لي ما يحدث في حياتي.""",classe_B
WIKI_C_08867,C,"الزيت اللي تكب بقى غادي حتى ل 15 يوليوز فاش سدوه بواحد الكاب. دارو بياضرة وحدة خرا باش يسدّو البير بالمرة، و قالو باللي راه ""ميت بصح"" نهار 19 شتنبر 2010.","zzit li tkeb b9a ghadi 7ta l 15 yulyuz fash seddoh b wa7d lkap. daro biyadra wa7da khra bash yeseddo lbir blmara, w 9alo belli rah ""mit bssa7"" nhar 19 chutanber 2010.","The oil that was poured remained there until July 15 when they sealed it with a cap. They put another white thing to seal the well completely, and they said that it was ""really dead"" on September 19, 2010.","الزيت الذي تم صبه بقي هناك حتى 15 يوليوز عندما أغلقوه بغطاء. وضعوا شيئاً أبيض آخر لسد البئر تماماً، وقالوا إنه ""ميت فعلاً"" في 19 شتنبر 2010.",classe_C
WIKI_C_02232,C,ما تلقا حتى شي سمية ديال شي بلاصة ديال الشماليين ف شمال سكتلاندا جنوب بيولي و تا دابا ما كاين حتى شي أثر ديال شي نشاط ديالهم ف شمال غرب ديال داك البلاصة.,ma telqa 7tta shi smiya dyal shi blaça dyal shshmaliyin f shmal skotlanda janub beuley w ta daba ma kayen 7tta shi athar dyal shi nashaT dyalhom f shamal gherb dyal dak lblaça.,"There is no name of any place related to the northerners in northern Scotland south of Beuly, and until now there is no trace of any of their activities in the northwest of that area.",لا توجد أي اسم لمكان يتعلق بالشماليين في شمال اسكتلندا جنوب بيولي، وحتى الآن لا يوجد أي أثر لنشاطاتهم في شمال غرب تلك المنطقة.,classe_C
WIKI_C_08870,C,إيلا كانت العبارة و كتشير لشي متغير فواحد النطاق محلي ولا نطاق د الأسماء، ولا متغير عضو ساكن، ولا بارامتر د شي فونكسيو، إذن النتيجة هي النوع المعلن ديال داك المتغير ولا البارامتر.,"ila kanet l3ibara e ktchire lshi mutaghayir fwa7ed neTa9 ma7ali wla neTa9 d l-asma2, wla mutaghayir 3eddw sakin, wla parameter d shi fonction, idhen n-natija hiya nnou3 mu3len dyal dak lmutaghayir wla lparameter.","If the expression e refers to a variable in a local scope or a namespace, or a member variable, or a parameter of a function, then the result is the declared type of that variable or parameter.",إذا كانت العبارة e تشير إلى متغير في نطاق محلي أو نطاق الأسماء، أو متغير عضو، أو بارامتر لدالة، فإن النتيجة هي النوع المعلن لذلك المتغير أو البارامتر.,classe_C
WIKI_C_01910,C,مع الواحدة د الصباح ف تلاتة و عشرين مارس، أوربشيس و ريبنتروب سينياو واحد المعاهدة، لي خدامة من جوج و عشرين مارس، كاتقول بلي ليتوانيا كاتحول طوعيا منطقة كلايبيدا لألمانيا. المعاهدة فيها خمسة د الفصول:,"ma3 lwa7da d sba7 f tlata w 3eshrin Mars, Urbshys w Ribbentrop sinaw wa7d lmo3ahada, li khadama men joj w 3eshrin Mars, kat9ol bli Lithuania kat7awel taw3iyan minta9at Klaipeda l'Almaanya. Lmo3ahada fiha khamsa d lfussul:","At one o'clock in the morning on March 23, Urbsys and Ribbentrop signed a treaty, effective from March 22, stating that Lithuania would voluntarily transfer the Klaipeda region to Germany. The treaty contains five chapters:",في الساعة الواحدة صباحًا في الثالث والعشرين من مارس، وقع أوربشيس وريبنتروب معاهدة، سارية المفعول اعتبارًا من الثاني والعشرين من مارس، تنص على أن ليتوانيا ستنقل طواعية منطقة كلايبيدا إلى ألمانيا. تحتوي المعاهدة على خمسة فصول:,classe_C
WIKI_C_04457,C,جوج سربات ديال السيوف (أ و ب) — كل وحدة فيهم فيها تلاتة ديال الفصايل ديال الدبابات، المجموع 14 لدبابة إم 1 إي 1 أبرامز (جوج تابعين للقيادة ديال السرب وكل فصيل كيدور باربعة دبابات)؛,"juj serbat dyal essyuf (a w b) — kul w7da fihum fiha tlata dyal lfassa2el dyal dababat, lmajmu3 14 ldababa M1A1 Abrams (juj tab3in lleqyada dyal esserb w kul fssil kydur b2arba3at dababat);","Two squadrons of tanks (A and B) — each one has three platoons of tanks, totaling 14 M1A1 Abrams tanks (two are under the command of the squadron and each platoon operates with four tanks);",سربتان من الدبابات (أ و ب) — كل واحدة منهما تحتوي على ثلاثة فصائل من الدبابات، بإجمالي 14 دبابة إم 1 إي 1 أبرامز (اثنتان تابعتان للقيادة الخاصة بالسرب وكل فصيل يعمل بأربعة دبابات)؛,classe_C
WIKI_C_11815,C,"على خدمتو على الحلقة، المصمم السابق ديال الشخصيات ريستينو ربح جائزة إيمي على ""إنجاز فردي متميز في الرسوم المتحركة"" على التصميم ديال الشخصيات، وهاد الشي خلاها أول جائزة إيمي كتاخدها السلسلة.","3la khdemto 3la l7al9a, lmussamem ssabi9 dyal shakhseyat ristino rbe7 ja2izat emmy 3la ""injaz fardi mutameyez f l-rusum l-muta7arrika"" 3la tasmim dyal shakhseyat, w hadchi khellaha awal ja2iza emmy katakhudha ssilsila.","For his work on the episode, the former character designer of Ristaino won an Emmy Award for ""Outstanding Individual Achievement in Animation"" for character design, making it the first Emmy Award the series has received.","من أجل عمله في الحلقة، فاز مصمم الشخصيات السابق لريستينو بجائزة إيمي عن ""إنجاز فردي متميز في الرسوم المتحركة"" عن تصميم الشخصيات، مما جعلها أول جائزة إيمي تحصل عليها السلسلة.",classe_C
WIKI_C_08828,C,كولين فيرث خدا أوسكار أحسن ممثل على قبل الدور ديالو ديال جورج السادس في فيلم خطاب الملك، واحد الفيلم ديال 2010 اللي خدا أوسكار أحسن فيلم.,"kolin firth khda oskar a7sen mumathil 3la qbel ddor dialo dial jorj s-sadis fi film khitab lmalik, wa7d l-film dial 2010 lli khda oskar a7sen film.","Colin Firth won the Oscar for Best Actor for his role as George VI in the film The King's Speech, a film from 2010 that also won the Oscar for Best Film.",حصل كولين فيرث على جائزة الأوسكار لأفضل ممثل عن دوره كجورج السادس في فيلم خطاب الملك، وهو فيلم من عام 2010 الذي حصل أيضًا على جائزة الأوسكار لأفضل فيلم.,classe_C
WIKI_C_04898,C,ماك كامبريدج، مايكل (2009). موسوعة إي إس بي إن ديال كورة ديال الجامعات: التاريخ الكامل ديال اللعبة. نيويورك: كتب إي إس بي إن، إنك. رقم الكتاب المعياري الدولي 1-4013-3703-1.,"mac cambridge, michael (2009). mosso3et espn dyal kora dyal ljam3at: t-tari5 l-kamel dyal l-lu3ba. new york: kutub espn, inc. isbn 1-4013-3703-1.","Mac Cambridge, Michael (2009). ESPN Encyclopedia of College Football: The Complete History of the Game. New York: ESPN Books, Inc. ISBN 1-4013-3703-1.",ماك كامبريدج، مايكل (2009). موسوعة إي إس بي إن لكرة القدم الجامعية: التاريخ الكامل للعبة. نيويورك: كتب إي إس بي إن، إنك. رقم الكتاب المعياري الدولي 1-4013-3703-1.,classe_C
WIKI_C_12120,C,العيقة الإيرلندية عندها بزاف ديال الخصائص الصوتية المشتركة مع أقرب اللغات ليها، بحال السكوتلندية الغالية والمانكسية، وحتى مع الإنجليزية المهجنة لي هي أقرب لغة ليها.,"l3iqa l-irlandiya 3andha bzaf dyal lkhsa2iss s-sotiya l-moshtarika m3a aqrab lloghat liha, b7al s-skotlandiya lghaliya w lmanksiya, w 7ta m3a l'ingliziya lmohajana li hiya aqrab logha liha.","The Irish accent has many phonetic features in common with its closest languages, such as Scottish Gaelic and Manx, and even with the hybrid English, which is its closest language.",اللهجة الإيرلندية تحتوي على العديد من الخصائص الصوتية المشتركة مع أقرب اللغات إليها، مثل الغيلية الاسكتلندية والمانكسية، وحتى مع الإنجليزية المهجنة، التي تعتبر أقرب لغة إليها.,classe_C
WIKI_C_04805,C,الداخل ديال الأوطيل كامل راه ديال سان ريجيس اللي فمانهاتن بصّح. والعروض ديال الموضة تصوّرو فواحد البلاطو ديال التسجيل فكوينز. وحتى الأوطيل ديال كريستيان راه هو دابليو اللي فتايمز سكوير.,d-da5el dyal l-otel kamel rah dyal san rigis li f manhatan bssah. w l3uroud dyal lmoda tsawro f wahed lplato dyal t-tasljil f queens. w 7ta l-otel dyal christian rah howa W li f times square.,The entire hotel is indeed the St. Regis in Manhattan. The fashion shows were filmed on a recording set in Queens. Even the Christian hotel is the W in Times Square.,الفندق بالكامل هو سان ريجيس في مانهاتن. تم تصوير عروض الأزياء في استوديو تسجيل في كوينز. حتى فندق كريستيان هو W في تايمز سكوير.,classe_C
WIKI_C_04262,C,الكلمات كاملين كتبهم سيوكسي سيو، إلا شي وحدين قلال، والمزيكا كاملة ديال سيوكسي أند ذي بانشيز (سيو، ستيڤن سيڤيرين، جون مكاي، كيني موريس)، إلا شي وحدين قلال.,"lkalimat kamlin ktebhom siouxi siou, illa chi w7din qlal, wlmzika kamla dial siouxi and d banshiz (siou, stiven siverin, jon mkay, kini morris), illa chi w7din qlal.","All the words are written by Siouxi Siou, except for a few, and the music is entirely by Siouxi and the Bunchies (Siou, Steven Severin, John McKay, Kenny Morris), except for a few.",جميع الكلمات كتبها سيوكسي سيو، باستثناء عدد قليل، والموسيقى بالكامل من سيوكسي وذا بانشيز (سيو، ستيفن سيفيرين، جون مكاي، كيني موريس)، باستثناء عدد قليل.,classe_C
WIKI_C_12234,C,"ف 2000 تحلّ الميموريال ديال مقبرة كاطين ديال الحرب في روسيا. قبل هادشي كانت ف لبلاصة واحد المونيمو فيه تكريس مزيَّف ل ""ضحايا ديال الحرب"".","f 2000 t7ell l memorial dial maqbert kaTyn dial l 7arb f roussia. qbel hadchi kanet f lblassa wa7ed l monument fih takris mzyeff ""l-dda7aya dial l 7arb"".","In 2000, the memorial of the Katyn war cemetery in Russia was inaugurated. Before that, there was a monument in the place that falsely commemorated the ""victims of the war"".","في عام 2000، تم افتتاح النصب التذكاري لمقبرة كاتين للحرب في روسيا. قبل ذلك، كان هناك نصب تذكاري في المكان يكرّس بشكل مزيف ""ضحايا الحرب"".",classe_C
WIKI_C_00773,C,من جهة أخرى، فاش n عدد صحيح، الأس x^n كيكون عندو معنى لجميع القيم ديال x، حتى السلبية. هادشي يقدر  يخلي التعريف ديال 0 n = ,"men jiha okhra, fash n 3adad s7i7, l-2uss x^n kaykon 3ando ma3na l-jmi3 l-9iyam dyal x, 7tta ssilbiya. Hadchi y2dar ykheli ta3rif dyal 0^n =","On the other hand, when n is an integer, the expression x^n has meaning for all values of x, including negative ones. This can lead to the definition of 0^n =",من جهة أخرى، عندما يكون n عددًا صحيحًا، فإن التعبير x^n له معنى لجميع قيم x، بما في ذلك القيم السلبية. يمكن أن يؤدي ذلك إلى تعريف 0 ^n =,classe_C
WIKI_C_01619,C,من ديك ساعة، نايت دايف ستوديوز خداو لحقوق ديال سيستم شوك و خرجو نسخة مطورة ديال لعبة ف شهر تسعود 2015. و كيك قالو بلي خداو لحقوق كاملة ديال السلسلة من ديك الساعة.,"mn dik sa3a, Night Dive Studios khdaw l7o9o9 dyal System Shock w khrejjo noskha mttwra dyal l-lu3ba f chhr ts3oud 2015. w Kick 9alo blli khdaw l7o9o9 kamla dyal ssilsila mn dik sa3a.","Since then, Night Dive Studios acquired the rights to System Shock and released an enhanced version of the game in September 2015. Kick stated that they acquired the full rights to the series since then.",منذ ذلك الحين، حصلت استوديوهات نايت دايف على حقوق لعبة System Shock وأصدرت نسخة مطورة من اللعبة في شهر سبتمبر 2015. وقالت كيك إنها حصلت على الحقوق الكاملة للسلسلة منذ ذلك الحين.,classe_C
WIKI_C_04554,C,"ف 2015، ""هارت بريك هوتيل"" تسمات نمرة 2 ديال لأغاني ديال الروك ف كتاب سميتو ""توب 500 سونغز أوف ذا روك إيرا: 1955-2015"".","f 2015, ""Heartbreak Hotel"" tsmmat nemra 2 dyal l'aghani dyal rock f ktab smito ""Top 500 Songs of the Rock Era: 1955-2015"".","In 2015, ""Heartbreak Hotel"" was ranked number 2 among rock songs in a book titled ""Top 500 Songs of the Rock Era: 1955-2015"".","في عام 2015، تم تصنيف ""Heartbreak Hotel"" في المرتبة الثانية بين أغاني الروك في كتاب بعنوان ""أفضل 500 أغاني من عصر الروك: 1955-2015"".",classe_C
