data_id,id,classe,colonne,artefact,valeur
data51501,DATA_18235,B,darija_arabizi,espaces doubles,Prime7 (m3a morafiq l bath l wataniya dyal GWN7) kaynin f Canberra. L2idara /  l moqarar arra2issi dyal Prime Media Grou...
data51502,WIKI_C_11357,C,darija_arabizi,espaces doubles,"walakin yemken garran ykoun machhour ktar k khabir f l qanoun ddostouri, ktar mn l mosahemat l okhra dyalo f l khidma l ..."
data51521,DATA_16513,B,english,espaces doubles,"Uncanny X-Men Annual N°  9-10, 12, 14 (with Chris Claremont, Marvel, 1985–1990)"
data51555,WIKI_C_03347,C,modern_standard_arabic,espaces doubles,بعد عامين، احتلَّت عودةُ بيتر كانافان من الإصابة كبديلٍ في الدقائق 10 الأخيرة المرتبةَ الرابعة عشرة ضمن سلسلة أفضل 20 لح...
data51556,WIKI_D_02949,D,modern_standard_arabic,espaces doubles,توجدُ كميةٌ قليلةٌ من المحفزاتِ البيولوجيةِ القائمةِ على الحمضِ النوويِّ الريبوزي آر إن إي تُسمى الريبوزيمات، والتي يمكن...
data51588,WIKI_D_02581,D,modern_standard_arabic,espaces doubles,في عام 2003، سجلت الفرقةُ النحاسيةُ 'يانغبلود براس باند (من أوريغون، ويسكونسن، الولايات المتحدة) نسخة ريوت جاز من الأغني...
data51599,DATA_17903,B,modern_standard_arabic,espaces doubles,كان وصية البارون فرديناند محددة للغاية، وكان عدم الالتزام بشروطها يبطلها. ونصت على أن المجموعة يجب أن تكون محفوظة ومجموع...
data51603,WIKI_D_06437,D,darija_arabic,espaces doubles,القصة ديالي هي واحد المذكرات كتعاود كلشي ديال الكندية جولي كويار.  تكتبات بالفرنسية أولاً، ومن بعد في صيف 2008، ترجموها ...
data51648,WIKI_C_06604,C,modern_standard_arabic,espaces doubles,يُصور كأنه محارب قوي ولديه الكثير من الصفات المشتركة مع الإله الإسكندنافي أودين، ولكن وجوده الحقيقي في التاريخ أمر لا شك...
data51664,WIKI_D_07842,D,english,<unk>/unknown,"Introduced by the second International Opium Convention , the Permanent Central Opium Board had to supervise the statist..."
data51683,WIKI_D_04431,D,english,espaces doubles,"Harrison wrote  ""Piggies"" as an attack on greed and materialism in modern society . His mother and Lennon helped him com..."
data51685,WIKI_D_05207,D,darija_arabic,LATIN dans Darija Arabic,"w 7ed l-EP tab3 tsemma Trouble – Norwegian Live EP tlqoh f ssyf dyal 2001, fih 5 dyal l-morso tsjlo live men tarf l-fraq"
data51730,WIKI_C_08200,C,darija_arabic,espaces doubles,كتكون متقاربة إلا و غير إلا كانت هاديك e ناقص e صغر أو كتساوي x صغر أو كتساوي واحد على e  (أو تقريبا بين 0.36 و 2.71)، ب...
data51751,WIKI_D_00978,D,darija_arabic,espaces doubles,لمجلس وصى تا بتفتيش منتظم لقواعد لجنيح باش يكتشفو شي صديعات ديال لعيا، ويزيدو فالغلظ ديال لجزء ديال لجنيح اللي ملاصق مع ...
data51806,DATA_18716,B,darija_arabic,espaces doubles,سجلات لمواسم - سجلات فردية - حراس لمرمى  لموقع تّاريخي لنادي مونتريال كانيديينز. تّخدات ف 12-12-2008.
data51818,DATA_22964,B,darija_arabic,espaces doubles,هايمز گرين -  خرج نهار 16 سبتمبر 2008 (لميريكان)، شهر غشت 2008 (لبريطانيا) (ذي پيت بيست باند)
data51818,DATA_22964,B,english,espaces doubles,"Haymans Green - Released 16 September 2008 (US),  August 2008 (UK) (The Pete Best Band)"
data51849,WIKI_D_09959,D,darija_arabic,espaces doubles,لمضاربة ممنوعة منعاً كلياً فالدوريات الأوروبية ديال الهوكي المحترف وفالألعاب الأولمبية ديال الهوكي على الجليد. القواعد ا...
data51887,DATA_0598,A,darija_arabic,phrase tronquée,"وه... صراحة, عندي واحد المشكل أ الشاف ..."
data51887,DATA_0598,A,darija_arabizi,phrase tronquée,"Uh... Sara7a, 3ndi wahd lmochkil a chef ..."
data51887,DATA_0598,A,english,phrase tronquée,"Uh... actually, I have a problem, boss..."
data51887,DATA_0598,A,modern_standard_arabic,phrase tronquée,اه... في الواقع، لدي مشكلة يا رئيس...
data51891,DATA_10582,A,english,espaces doubles,I dont think  i will eat all this food
data51923,DATA_14117,B,darija_arabic,LATIN dans Darija Arabic,C (s) + H2O (g) -> CO (g) + H2 (g)
data51942,WIKI_C_03862,C,english,<unk>/unknown,Twenty three species of butterflies and 105 species of moth enjoy the floral diversity of the site . The holly blue ( <u...
data51980,WIKI_C_09285,C,darija_arabic,espaces doubles,مانزانار بقات خاوية حتى لجيش لميريكاني كرا 6200  فدان من مدينة لوس أنجلوس باش يدير مركز مانزانار ديال ترحيل ديال لحرب.
data51989,WIKI_C_01147,C,darija_arabic,espaces doubles,حطم 91 ريكور عالمي ديال طيران مصادق عليهم من طرف الفيدرالية الجوية الدولية منهم 36 باقين كاينين زائد 23 ريكور عالمي ديال...
